number,gap,why_it_binds,where_to_obtain
1,"PhilHealth Konsulta and claims data are not disaggregated on the post-2022 boundary, and the Special Geographic Area has no separate line",The principal financing indicator does not exist for three of four jurisdictions. Named the highest-priority request in two volumes independently.,"PhilHealth Corporate Planning / BARMM Regional Office: registrations, first patient encounters, statements of account generated and paid, 2021–2025, by PSGC, with a facility-level accreditation roster"
2,No GIDA determination for three of four jurisdictions,Isolation was the strongest correlate of modelled access failure where it was available. Three allocation bases rest on two variables instead of three.,"DOH Bureau of Local Health Systems Development masterlist, filtered to PSGC 1908700000, 1908800000 and 1999901000–1999908000, with barangay codes and year of determination"
3,No MOH-BARMM or HFEP unit-cost schedule,Four volumes decline to cost their programmes for want of it. Its absence is the reason the region has a defensible allocation logic and no defensible cost envelope.,MOH-BARMM Planning Division; DOH Health Facility Enhancement Program
4,No jurisdiction-level causes of death or morbidity,"No cause profile, mortality rate, maternal mortality ratio or infant mortality rate can be computed anywhere in the four.","PSA Vital Statistics Division, special request — registered deaths by ICD-10 cause, by PSGC, 2023–2024; MOH-BARMM RESU line lists; IPHO FHSIS M1/M2 returns"
5,No published service-delivery network or catchment map in any jurisdiction,Referral completion cannot be measured and ambulance procurement has no destination. Ten municipalities in one province raised referral as a priority gap and no corresponding map was proposed.,MOH-BARMM under the UHC-BARMM implementing rules of 26 April 2021; DOH for retained facilities; DND for camp hospitals
6,Current DOH-HFSRB licence status for the acute inpatient stock,"Almost every licence validity date in the register has passed, including those of facilities holding 63 per cent of one province’s beds and the sole Level 2 facility of another. Licensing status is null for the majority of records in three jurisdictions.","DOH-HFSRB current extract, cross-checked against the MOH-BARMM facilities map"
7,The issuance governing licensure of primary care facilities in a devolved region,Determines whether accreditation of the Special Geographic Area network is a documentary exercise of months or a construction exercise of years — and whether ₱219 million a year is recoverable in Year 1.,DOH-HFSRB; MOH-BARMM; Office of the Chief Minister
8,The DBM per-LGU National Tax Allotment annex for Region XIX,"Settles whether eight local government units and 214,703 residents are in the allotment distribution at all, and therefore whether they have a 20 per cent Development Fund.",Department of Budget and Management; Bureau of Local Government Finance
9,No health workforce inventory that survives parsing in any jurisdiction,Ratio strings are stored as headcounts in all four evidence bases. No workforce or HR-density figure from the pipeline is used anywhere in the series.,IPHO and MOH-BARMM plantilla and deployment records; physical headcount by cadre and appointment status (field collection)
10,Cold-chain and equipment condition at 353 service locations,No procurement quantity is derivable from the field as it stands. In one province the intermediate category was never used once.,"Physical verification under the validation programmes — one instrument, one scale, one enumerator per municipality (field collection)"
11,The 2024 LGU Health Scorecard raw municipal extract,"Three jurisdictions are planning on a 2022 picture, and one indicator series — facility-based delivery — ends in 2018.",DOH Bureau of Local Health Systems Development; MOH-BARMM
12,No official land area for two provinces or for the Special Geographic Area,"No density, area or facilities-per-square-kilometre figure appears anywhere in the series. Three secondary compilations give three different areas for one province.",PSA / NAMRIA–Land Management Bureau land-area datafile for the post-2022 PSGC
13,"No MOH-BARMM issuance on health system integration, and no implementing rules for Bangsamoro Autonomy Act No. 49",The Code’s implementing rules were required within three months of effectivity and were not obtained. No Bangsamoro Health Code was located.,MOH-BARMM numbered administrative orders and memorandum circulars 2024–2026; MILG-BARMM
14,Measles case and death counts disaggregated below the undivided province,"The only provincial breakdown available reports 427 cases and 3 deaths for a province abolished nineteen months earlier, and no figure exists for the Special Geographic Area.","MOH-BARMM RESU; DOH Epidemiology Bureau measles-rubella case-based surveillance line lists, on the post-2022 PSGC"
