Report,Province / area,Local government unit,Row type,Source locator,Population 2024,Barangays (as annexed),Barangays with a first-contact facility (as annexed),Barangays without a first-contact facility (as annexed),Rural health units (as annexed),Barangay health stations,Hospitals,Licensed beds,FIC %,FBD %,TB CNR,TB detection %,PhilPEN %,Stunting %,Population per RHU as printed,LIVE  Population per RHU,LIVE  Variance vs printed,LIVE  RHUs implied at the catchment standard (nearest),LIVE  RHU shortfall (nearest),LIVE  Above the catchment standard,LIVE  Barangays with a facility,LIVE  Barangay coverage share,"LIVE  Beds per 1,000 residents",Basis and caveat,LIVE  RHUs implied (rounded up),LIVE  RHU shortfall (rounded up),municipality_key,province_key,centroid_lat,centroid_lon,psgc_code,network_id,coordinate_precision,pathway_condition,pathway_condition_reason,pathway_counting_metric,pathway_condition_caveat,first_contact_nodes,unserved_barangays,first_contact_answer,nearest_referral_id,nearest_referral_lgu,nearest_referral_report,nearest_referral_distance_km,referral_answer,payment_answer,record_answer,referral_completion_answer
LDS,Lanao del Sur,Marawi City,LGU,LDS · ANNEX A · §A · p. 49,259993,101,,70.0,5,26,4.0,,84.5,83.8,240.2,38.0,10.1,5.9,51999.0,51998.6,-0.4,13,8,Yes,31,0.3069306931,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",13,8,MARAWICITY,LANAODELSUR,8.0047262,124.2854351,,LDS::MARAWICITY,Public geocoder representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 10.1% against the regional monitoring target of 25%.,10.1% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",31,70.0,"The current records show 31 places for a resident's first health visit: 5 Rural Health Units and 26 Barangay Health Stations. 70 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::MARAWICITY,Marawi City,LDS,0.0,"If the case needs inpatient care, the municipal row records a local hospital or inpatient receiving point. This does not confirm licensure, referral protocol, or actual admission.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Malabang,LGU,LDS · ANNEX A · §A · p. 49,58377,37,,36.0,1,1,1.0,,111.0,98.5,319.6,50.6,7.0,1.5,58377.0,58377.0,0.0,3,2,Yes,1,0.02702702703,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",3,2,MALABANG,LANAODELSUR,7.648920009000051,124.06455165312244,1903615000.0,LDS::MALABANG,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 7.0% against the regional monitoring target of 25%.,7.0% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",2,36.0,"The current records show 2 places for a resident's first health visit: 1 Rural Health Unit and 1 Barangay Health Station. 36 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::MALABANG,Malabang,LDS,0.0,"If the case needs inpatient care, the municipal row records a local hospital or inpatient receiving point. This does not confirm licensure, referral protocol, or actual admission.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Wao,LGU,LDS · ANNEX A · §A · p. 49,51081,26,,0.0,1,26,1.0,,89.6,93.2,137.9,21.8,0.6,2.7,51081.0,51081.0,0.0,3,2,Yes,26,1.0,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",3,2,WAO,LANAODELSUR,7.638786814000042,124.68787715617256,1903630000.0,LDS::WAO,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 0.6% against the regional monitoring target of 25%.,0.6% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",27,0.0,"The current records show 27 places for a resident's first health visit: 1 Rural Health Unit and 26 Barangay Health Stations. Every barangay in this municipal row has a matched first-contact facility in the current records; local validation should still confirm operating status, staffing, and practical accessibility.",LDS::WAO,Wao,LDS,0.0,"If the case needs inpatient care, the municipal row records a local hospital or inpatient receiving point. This does not confirm licensure, referral protocol, or actual admission.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Lumba-Bayabao,LGU,LDS · ANNEX A · §A · p. 49,50959,38,,36.0,1,2,0.0,,95.8,99.9,104.5,16.5,10.4,3.4,50959.0,50959.0,0.0,3,2,Yes,2,0.05263157895,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",3,2,LUMBABAYABAO,LANAODELSUR,7.78302467900005,124.48117675668476,1903611000.0,LDS::LUMBABAYABAO,Municipality representative point,presumptive tuberculosis,TB detection is 16.5% against the two-year monitoring target of 40%.,16.5% TB detection ratio,"TB detection is derived from notifications against expected incidence, not a complete case register.",3,36.0,"The current records show 3 places for a resident's first health visit: 1 Rural Health Unit and 2 Barangay Health Stations. 36 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::TAMPARAN,Tamparan,LDS,19.2,"If the case needs care beyond first contact, the closest mapped municipality with a recorded hospital is Tamparan, about 19.2 km away by straight-line representative distance. This is not a travel-time route and must be checked against the local referral network.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Marantao,LGU,LDS · ANNEX A · §A · p. 49,46233,34,,29.0,1,5,1.0,,89.0,88.4,234.3,37.1,3.7,2.8,46233.0,46233.0,0.0,2,1,Yes,5,0.1470588235,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",3,2,MARANTAO,LANAODELSUR,7.955459795500048,124.21780877499864,1903616000.0,LDS::MARANTAO,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 3.7% against the regional monitoring target of 25%.,3.7% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",6,29.0,"The current records show 6 places for a resident's first health visit: 1 Rural Health Unit and 5 Barangay Health Stations. 29 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::MARANTAO,Marantao,LDS,0.0,"If the case needs inpatient care, the municipal row records a local hospital or inpatient receiving point. This does not confirm licensure, referral protocol, or actual admission.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Piagapo,LGU,LDS · ANNEX A · §A · p. 49,40558,37,,33.0,1,4,0.0,,89.1,65.7,131.2,20.8,2.2,10.5,40558.0,40558.0,0.0,2,1,Yes,4,0.1081081081,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",3,2,PIAGAPO,LANAODELSUR,7.99377424100004,124.17571297682,1903621000.0,LDS::PIAGAPO,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 2.2% against the regional monitoring target of 25%.,2.2% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",5,33.0,"The current records show 5 places for a resident's first health visit: 1 Rural Health Unit and 4 Barangay Health Stations. 33 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::MARANTAO,Marantao,LDS,6.3,"If the case needs care beyond first contact, the closest mapped municipality with a recorded hospital is Marantao, about 6.3 km away by straight-line representative distance. This is not a travel-time route and must be checked against the local referral network.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Balindong,LGU,LDS · ANNEX A · §A · p. 49,40047,38,,30.0,1,8,1.0,,35.8,85.1,111.4,17.6,0.2,4.1,40047.0,40047.0,0.0,2,1,Yes,8,0.2105263158,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",3,2,BALINDONG,LANAODELSUR,7.915750078000059,124.1830553508252,1903603000.0,LDS::BALINDONG,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 0.2% against the regional monitoring target of 25%.,0.2% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",9,30.0,"The current records show 9 places for a resident's first health visit: 1 Rural Health Unit and 8 Barangay Health Stations. 30 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::BALINDONG,Balindong,LDS,0.0,"If the case needs inpatient care, the municipal row records a local hospital or inpatient receiving point. This does not confirm licensure, referral protocol, or actual admission.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Maguing,LGU,LDS · ANNEX A · §A · p. 49,37292,34,,32.0,1,2,0.0,,26.2,83.8,100.2,15.9,1.3,1.4,37292.0,37292.0,0.0,2,1,Yes,2,0.05882352941,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",2,1,MAGUING,LANAODELSUR,7.917266749000049,124.4930004538866,1903634000.0,LDS::MAGUING,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 1.3% against the regional monitoring target of 25%.,1.3% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",3,32.0,"The current records show 3 places for a resident's first health visit: 1 Rural Health Unit and 2 Barangay Health Stations. 32 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::TAMPARAN,Tamparan,LDS,18.4,"If the case needs care beyond first contact, the closest mapped municipality with a recorded hospital is Tamparan, about 18.4 km away by straight-line representative distance. This is not a travel-time route and must be checked against the local referral network.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Tamparan,LGU,LDS · ANNEX A · §A · p. 49,37190,44,,44.0,1,0,2.0,,98.4,95.2,139.2,22.0,0.2,0.6,37190.0,37190.0,0.0,2,1,Yes,0,0.0,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",2,1,TAMPARAN,LANAODELSUR,7.872508551000038,124.33182360720274,1903626000.0,LDS::TAMPARAN,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 0.2% against the regional monitoring target of 25%.,0.2% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",1,44.0,"The current records show 1 place for a resident's first health visit: 1 Rural Health Unit and 0 Barangay Health Stations. 44 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::TAMPARAN,Tamparan,LDS,0.0,"If the case needs inpatient care, the municipal row records a local hospital or inpatient receiving point. This does not confirm licensure, referral protocol, or actual admission.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
LDS,Lanao del Sur,Masiu,LGU,LDS · ANNEX A · §A · p. 49,36803,35,,32.0,1,3,0.0,,101.4,,105.3,16.7,2.5,0.3,36803.0,36803.0,0.0,2,1,Yes,3,0.08571428571,,"Barangay column preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays and a five-barangay crosswalk is outstanding. 'Without a facility' = barangays with no matched registered health station. No bed column is carried in this annex.",2,1,MASIU,LANAODELSUR,7.796852722500034,124.370335828152,1903618000.0,LDS::MASIU,Municipality representative point,adult blood-pressure or diabetes risk,PhilPEN risk assessment is 2.5% against the regional monitoring target of 25%.,2.5% of adults 20+ risk-assessed,"PhilPEN screening is a counting signal, not a measured hypertension or diabetes prevalence.",4,32.0,"The current records show 4 places for a resident's first health visit: 1 Rural Health Unit and 3 Barangay Health Stations. 32 barangays have no facility matched to them in the current source layer. Residents may need to use a nearby barangay, outreach services, or another local arrangement; this must be confirmed locally.",LDS::TAMPARAN,Tamparan,LDS,9.4,"If the case needs care beyond first contact, the closest mapped municipality with a recorded hospital is Tamparan, about 9.4 km away by straight-line representative distance. This is not a travel-time route and must be checked against the local referral network.","PhilHealth accreditation exists in the wider province, but the workbook does not connect accreditation, benefit use, and charge exposure to each LGU pathway.","FHSIS is partially transmitting: 7 of 33 assessed RHUs submit fully on time, 9 submit complete indicator data, and all assessed units carry data-quality issues.",No referral-completion observations are recorded in the consolidated regional workbook; the pathway cannot confirm arrival or feedback.
