Report,Label,Printed title / caption,Section no.,Section title,Subsection no.,Subsection title,Printed page,Rows (data),Columns,Domain sheet,Domain,Source note as printed,Export line no.
BARMM,(unlabelled),# 1 Executive Summary,1,Executive Summary,,,4.0,0,7,D01,Executive summary and headline panels,,182
BARMM,(unlabelled),"| 84local government units infour jurisdictions | | 3,137,511 residents, 2024 Census — 55.1% of the 1 July 2024 BARMM-with-Sulu total; 69.0% of current BARMM | | 1,735 current barangays | | 756registered health facilitieson the registry basis |",1,Executive Summary,,,4.0,0,7,D04,"First contact, facilities and catchment",,188
BARMM,EXHIBIT 1,"Four jurisdictions, four distinct constraints, three shared findings",1,Executive Summary,,Eight findings,4.0,5,4,D02,"Evidence base, scope and method",,220
BARMM,TABLE 1,The four volumes at a glance,2,"Scope, Evidence and Method",,"What this consolidation is, and what it is not",9.0,5,6,D02,"Evidence base, scope and method",,267
BARMM,TABLE 2,The evidence layers and what each can carry across four jurisdictions,2,"Scope, Evidence and Method",,"The evidence layers, consolidated",9.0,5,5,D02,"Evidence base, scope and method",,284
BARMM,EXHIBIT 2,The regional dashboard: what each jurisdiction can and cannot measure,3,"Four Jurisdictions, Four Constraints",,,11.0,16,6,D02,"Evidence base, scope and method",,319
BARMM,TABLE 3,"What the evidence establishes, and does not establish, about disease burden",4,Stage One — The Illness,,What the record does not yet support on mortality,13.0,6,3,D03,Disease burden and service coverage,,353
BARMM,EXHIBIT 3,"Adults risk-assessed under PhilPEN, by jurisdiction",4,Stage One — The Illness,,The non-communicable disease loop,13.0,4,5,D03,Disease burden and service coverage,,377
BARMM,EXHIBIT 4,The first-contact coverage gradient: 11 per cent to 100 per cent,5,Stage Two — First Contact,,The coverage gradient,16.0,4,6,D04,"First contact, facilities and catchment",,409
BARMM,TABLE 4,"Rural health units against the 1:20,000 planning target",5,Stage Two — First Contact,,"The 1:20,000 standard is not a facility standard",16.0,5,6,D04,"First contact, facilities and catchment",,425
BARMM,EXHIBIT 5,"Cold chain: 115 functional, 353 not stated, out of 836 records",5,Stage Two — First Contact,,The cold chain is not yet assessable from the record,16.0,5,6,D05,Cold chain and commodities,,444
BARMM,TABLE 5,"PhilHealth-accredited health care institutions, BARMM by province",6,Stage Three — Payment,,The perimeter,18.0,12,10,D06,"Payment, PhilHealth and financing",,471
BARMM,TABLE 6,"The PhilHealth Konsulta return, and its three arithmetic failures",6,Stage Three — Payment,,The throughput not yet computable,18.0,9,6,D06,"Payment, PhilHealth and financing",,499
BARMM,TABLE 7,Licensed inpatient capacity across the four jurisdictions,7,Stage Four — Referral,,The inpatient stock,21.0,5,8,D07,Referral and inpatient capacity,,532
BARMM,EXHIBIT 6,The referral measurement gap: zero observations across 57 reporting units,7,Stage Four — Referral,,The referral measurement gap,21.0,5,5,D07,Referral and inpatient capacity,,565
BARMM,TABLE 8,The condition of routine reporting: 68 assessed units,8,Stage Five — Follow-Up and the Record,,The FHSIS apparatus,24.0,13,6,D08,"Routine reporting, FHSIS and civil registration",,588
BARMM,EXHIBIT 7,Five divergences between the administrative record and independent measurement,9,The Reconciliation,,,26.0,5,4,D09,Reconciliation and divergences,,631
BARMM,TABLE 9,"The parser and build issues, by jurisdiction",10,The Evidence Pipeline,,A catalogue of data-build issues,28.0,7,4,D02,"Evidence base, scope and method",,660
BARMM,TABLE 10,Legal obligations engaged by the consolidated findings,11,Governance and Legal Framework,,,30.0,9,4,D10,Governance and legal framework,,691
BARMM,EXHIBIT 8,Sequencing: what the Ministry must settle before anything else can be sized,12,Priorities: sequencing the Ministry’s own decisions,,,32.0,7,5,D11,Priorities and sequencing,,736
BARMM,EXHIBIT 9,Regional volumetrics for the two-year programme,13,"Two-Year Investment Logic, 2026–2028",,Regional volumetrics,33.0,13,3,D12,Investment logic and volumetrics,,761
BARMM,TABLE 11,"The two-year programme: volumetrics, sequencing and financing route",13,"Two-Year Investment Logic, 2026–2028",,The programme,33.0,11,5,D12,Investment logic and volumetrics,,784
BARMM,TABLE 12,Regional monitoring indicators,14,Monitoring Framework,,,35.0,14,5,D13,Monitoring indicators,,815
BARMM,ANNEX A,# A Annex A — Jurisdiction master table,A,Annex A — Jurisdiction master table,,,28.0,5,16,D14,"Annexes, master tables and gap registers",,918
