#,Class,Report(s),Locator,Finding,Why it binds,Live check in this workbook,Status
1,Numbering defect,LDS,LDS · front matter and body,The front-matter TABLES list names Table 3 (First-contact infrastructure) and Table 11 (Provincial monitoring indicators); neither appears in the body under those numbers. Table 11 is absent from the document entirely.,"A monitoring framework named in the contents list but absent from the body cannot be used to baseline the two-year programme, and the volume's own indicator set is therefore unstated.",03_Table_Index — filter Report = LDS and compare against the front-matter list.,Open — requires author correction
2,Numbering defect,LDS,"LDS · §4.6, §4.7, §4.9",Exhibits 5 and 6 appear in the body mislabelled as a second 'EXHIBIT 3' and 'EXHIBIT 4'. Exhibit 7 ('Where births actually happen') is absent from §4.9. TABLE 2 and TABLE 5 each appear twice under the same number.,"Duplicate and missing labels break cross-referencing between the volume and this consolidation, and defeat citation by exhibit number.",03_Table_Index — duplicate labels are visible on sorting by Report then Label.,Open — requires author correction
3,Numbering defect,LDS,LDS · contents list,"Section 12 'Two-Year Investment Logic, 2026–2028' is listed twice, at p. 42 and p. 43. There is no §2.1 and no §8.1.",The printed page locator for §12 is ambiguous.,02_Section_Index — both entries are carried verbatim.,Open — requires author correction
4,Numbering defect,LDS,"LDS · §11, TABLE 9",The validation programme table has no header row and begins at item 3; items 1 and 2 are missing.,"Two tasks of the ninety-day programme are unstated, so the programme cannot be costed or assigned.",D11 sheet — the table is reproduced as it stands.,Open — requires author correction
5,Denominator conflict,LDS; BARMM,LDS · ANNEX A · §A; BARMM · EXHIBIT 4 · §5,"Lanao del Sur's Annex A preserves the 1,159-node 2020 model geography; current administrative coverage is 1,164 barangays. Annex A implies 1,159 − 1,024 = 135 barangays with a matched station; the regional volume states 128 covered of 1,164 (11.0 per cent).",The barangay denominator drives the construction volumetric for the largest jurisdiction in the series. A seven-barangay difference in the numerator and a five-barangay difference in the denominator are both unresolved.,10_Municipal_Master column Z (live barangays with a facility) against 16_RHU_Standard_and_Coverage; 11_Jurisdiction_Rollup column I.,Open — five-barangay crosswalk outstanding
6,Arithmetic failure in source,BARMM; MDS,BARMM · TABLE 6 · §6; MDS · TABLE 8 · §5.3,"The PhilHealth Konsulta return does not foot. Registered: column sum 717,318 against a stated total of 714,318 (+3,000). First patient encounters: column sum 37,951 against a stated 32,098 (+5,853). SAP-1 paid: column sum 6,253,786 against a stated 6,253,788 (−2).","The return is the only source for Konsulta throughput. Until the return is reconciled, no conversion rate computed from it can be relied on, and the regional volume's own arithmetic-failure finding stands.",13_Konsulta_Return — live column sums and variance rows.,Open — reconciliation with PhilHealth required
7,Coverage gap,SGA,SGA · TABLE 7 · §5.2; BARMM · TABLE 5 · §6,The Special Geographic Area records zero PhilHealth accreditations of any class against a regional total of 347.,"Without accreditation the area cannot draw PhilHealth reimbursement, so first-contact capacity already built cannot be financed. The volume states ₱444,926,240 as revenue that cannot be earned.",12_PhilHealth_Accreditation — SGA column and live column sums.,"Confirmed in source; requires accreditation action, not data correction"
8,Measurement gap,All four jurisdictions,BARMM · EXHIBIT 6 · §7,Referral completion is recorded as zero observations across 57 reporting units. No jurisdiction has a published catchment map.,"Referral performance cannot be measured at all. Any statement about referral in the five volumes is an inference from structure, not an observation of outcome.",D07 sheet — Exhibit 6 reproduced verbatim.,Open — instrument does not yet exist
9,Record incompleteness,All four jurisdictions,BARMM · EXHIBIT 5 · §5,Cold chain status is not recorded for 353 of 836 records (42.2 per cent); only 115 are recorded functional. Maguindanao del Norte never uses the category 'Partial' once.,"Cold chain is the binding constraint on immunisation, and the 2024 measles outbreak is the arbitrating event. A 42 per cent unrecorded field cannot support a procurement decision.","15_Cold_Chain — live functional and unrecorded shares, and the unaccounted-records check.",Open — field enumeration required
10,Scope boundary,MDN,MDN · §4A; MDN · ANNEX A · §A,"Cotabato City (383,383 residents, 37 barangays, 6 hospitals, 512 beds) is carried in the Annex A table but is not a component LGU of Maguindanao del Norte. The volume's §4A correction removes it from the provincial averages.",Including the city inflates every provincial per-capita and readiness measure. The regional consolidation excludes it.,10_Municipal_Master — the row is typed 'Non-component reference' and is excluded from every SUMIFS roll-up on 11_Jurisdiction_Rollup.,Resolved in this workbook by row typing
11,Basis conflict,SGA,SGA · ANNEX A · §A; BARMM · TABLE 4 · §5,"Rural health units in the Special Geographic Area are stated on two bases: 9 registered and 6 operating. The implied requirement at 1:20,000 is 11, so the shortfall is 2 on the register basis and 5 on the operating basis.",The construction volumetric doubles depending on which basis is adopted.,16_RHU_Standard_and_Coverage — the printed cell carries both; the live recomputation uses the register basis carried in 10_Municipal_Master.,Open — basis must be fixed before allocation
12,Register conflict,SGA,SGA · TABLE 6 · §4.2,"Two facility registers disagree: the DOH facility register records 68 Special Geographic Area registrations against a municipal enumeration of 66 cleaned service-location records, with different composition by class.","Neither register is validated. Facility identity, classification, ownership and licensing remain unreconciled.",D04 sheet — Table 6 reproduced verbatim.,Open — registry reconciliation required
13,Workforce,SGA,SGA · §4.7,The workforce cannot be counted from the supplied records.,"No health human resource volumetric can be derived for the area, so staffing cannot be costed in the two-year programme.",No workforce table exists in any of the five volumes; there is therefore no workforce domain sheet in this workbook.,Open — evidence gap
14,Fiscal premise,SGA,SGA · §5.4,"The National Tax Allotment position of the eight municipalities is unresolved, and the volume flags this as conditioning everything else.",Fiscal capacity to sustain any recurrent cost created by the programme is unknown.,D06 sheet.,Open — evidence gap
15,Cross-volume divergence,All,BARMM · ANNEX D · §D,"The regional volume carries an eleven-row register of divergences between the four jurisdiction volumes, each requiring resolution.",The four volumes were built sequentially and each corrected findings in the previous one; unresolved divergences propagate into any consolidated figure.,D14 sheet — Annex D reproduced verbatim.,Open — see Annex D
16,"Convention inferred, not stated",All,BARMM · TABLE 4 · §5; 05_Assumptions; 16_RHU_Standard_and_Coverage,The rounding convention behind 'units implied by the target' is not stated in any volume. Nearest-integer rounding reproduces the printed 68 / 37 / 41 / 11 exactly; rounding up gives 69 / 38 / 41 / 11 and a regional requirement of 159 rather than 157.,"Two additional rural health units across the region is a material difference in a construction volumetric, and the convention is an inference of this workbook rather than a statement of the source.",05_Assumptions row 5; both conventions are computed side by side on 10_Municipal_Master (columns W and AD) and 16_RHU_Standard_and_Coverage.,Open — convention should be stated explicitly in the volumes
17,Internal inconsistency,LDS,LDS · ANNEX A · §A,"The forty municipal barangay values in Lanao del Sur's Annex A sum to 1,164, but the annex's own PROVINCE row prints 1,159 and its column note states that the column preserves the 1,159-node 2020 model geography. The municipal rows are therefore on current geography while the total is on model geography.","The province total and the rows beneath it are not on the same frame. Every share computed against the provincial barangay denominator is affected, including the 11.0 per cent first-contact coverage figure carried into the regional volume.","11_Jurisdiction_Rollup row 2, columns G to I: printed 1,159 against a live sum of 1,164, variance +5.",Open — five-barangay crosswalk outstanding
